pinyin	station	code
bjb	北京北	VAP
bjd	北京东	BOP
bji	北京	BJP
bjn	北京南	VNP
bjx	北京西	BXP
gju	革居	GEM
gmc	光明城	IMQ
hme	虎门	IUQ
qsh	庆盛	QSQ
szb	深圳北	IOQ
xyc	西阳村	XQF
cqb	重庆北	CUW
cqi	重庆	CQW
cqn	重庆南	CRW
sha	上海	SHH
shn	上海南	SNH
shq	上海虹桥	AOH
shx	上海西	SXH
tjb	天津北	TBP
tji	天津	TJP
tjn	天津南	TIP
tjx	天津西	TXP
cch	长春	CCT
ccn	长春南	CET
cdd	成都东	ICW
cdu	成都	CDW
csg	长沙埂	CSW
csh	长沙	CSQ
csn	长沙南	CWQ
fzh	福州	FZS
fzn	福州南	FYS
gya	贵阳	GIW
gyx	贵阳西	GQW
gzb	广州北	GBQ
gzd	广州东	GGQ
gzh	广州	GZQ
gzn	广州南	IZQ
heb	哈尔滨	HBB
hed	哈尔滨东	VBB
hfe	合肥	HFH
hfx	合肥西	HTH
hhd	呼和浩特东	NDC
hht	呼和浩特	HHC
hkd	海口东	HMQ
hko	海口	VUQ
hzh	杭州	HZH
hzn	杭州南	XHH
jna	济南	JNK
jnd	济南东	JAK
jnx	济南西	JGK
kmi	昆明	KMM
kmx	昆明西	KXM
lsa	拉萨	LSO
lzd	兰州东	LVJ
lzh	兰州	LZJ
lzx	兰州西	LAJ
nch	南昌	NCG
nji	南京	NJH
njn	南京南	NKH
njx	南京西	NIH
nni	南宁	NNZ
sjb	石家庄北	VVP
sjz	石家庄	SJP
sya	沈阳	SYT
syb	沈阳北	SBT
syd	沈阳东	SDT
tyb	太原北	TBV
tyd	太原东	TDV
tyu	太原	TYV
wha	武汉	WHN
wjx	王家营西	KNM
wlq	乌鲁木齐	WMR
xab	西安北	EAY
xan	西安	XAY
xan	西安南	CAY
xnx	西宁西	XXO
ych	银川	YIJ
ycn	银川南	YEJ
zzh	郑州	ZZF
aes	阿尔山	ART
aka	安康	AKY
aks	阿克苏	ASR
alh	阿里河	AHX
alk	阿拉山口	AKR
api	安平	APT
aqi	安庆	AQH
ash	安顺	ASW
ash	鞍山	AST
aya	安阳	AYF
ban	北安	BAB
bbu	蚌埠	BBH
bch	白城	BCT
bha	北海	BHZ
bhe	白河	BEL
bji	白涧	BAP
bji	宝鸡	BJY
bji	滨江	BJB
bkt	博克图	BKX
bse	百色	BIZ
bss	白山市	HJL
bta	北台	BTT
btd	包头东	BDC
bto	包头	BTC
btz	北屯镇	BXR
bxi	本溪	BXT
byb	白云鄂博	BEC
byx	白银西	BXJ
bzh	亳州	BZH
cbi	赤壁	CBN
cde	常德	VGQ
cde	承德	CDP
cdi	长甸	CDT
cfe	赤峰	CFD
cli	茶陵	CDG
cna	苍南	CEH
cpi	昌平	CPP
cre	崇仁	CRG
ctu	昌图	CTT
ctz	长汀镇	CDB
cxi	崇信	CIJ
cxi	曹县	CXK
cxi	楚雄	COM
cxt	陈相屯	CXT
czb	长治北	CBF
czh	长征	CZJ
czh	池州	IYH
czh	常州	CZH
czh	郴州	CZQ
czh	长治	CZF
czh	沧州	COP
czu	崇左	CZZ
dab	大安北	RNT
dch	大成	DCT
ddo	丹东	DUT
dfh	东方红	DFB
dgd	东莞东	DMQ
dhs	大虎山	DHD
dhu	敦煌	DHJ
dhu	敦化	DHL
dhu	德惠	DHT
djc	东京城	DJB
dji	大涧	DFP
djy	都江堰	DDW
dli	大理	DKM
dli	大连	DLT
dna	定南	DNG
dqi	大庆	DZX
dsh	东胜	DOC
dsq	大石桥	DQT
dto	大同	DTV
dyi	东营	DPK
dys	大杨树	DUX
dyu	都匀	RYW
dzh	邓州	DOF
dzh	达州	RXW
dzh	德州	DZP
ejn	额济纳	EJC
eli	二连	RLC
esh	恩施	ESN
fcg	防城港	FEZ
fdi	福鼎	FES
fld	风陵渡	FLV
fli	涪陵	FLW
flj	富拉尔基	FRX
fsb	抚顺北	FET
fsh	佛山	FSQ
fxi	阜新	FXD
fya	阜阳	FYH
gem	格尔木	GRO
gha	广汉	GHW
gji	古交	GJV
glb	桂林北	GBZ
gli	古莲	GRX
gli	桂林	GLZ
gqi	高崎	XBS
gsh	固始	GXN
gsh	广水	GSN
gta	干塘	GNJ
gyu	广元	GYW
gzh	赣州	GZG
gzl	公主岭	GLT
han	淮安	AUH
hbe	鹤北	HMB
hbe	淮北	HRH
hbi	淮滨	HVN
hbi	河边	HBV
hch	潢川	KCN
hch	韩城	HCY
hda	邯郸	HDP
hdz	横道河子	HDB
hga	鹤岗	HGB
hgt	皇姑屯	HTT
hgu	红果	HEM
hhe	黑河	HJB
hhu	怀化	HHQ
hko	汉口	HKN
hld	葫芦岛	HLD
hle	海拉尔	HRX
hll	霍林郭勒	HWD
hlu	海伦	HLB
hma	侯马	HMV
hmi	哈密	HMR
hna	淮南	HAH
hna	桦南	HNB
